"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andhra Pradesh","Kurnool","2023-04-03","2023","04","20.4374172824","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-04","2023","04","20.316677801","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-05","2023","04","20.2453011835","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-06","2023","04","20.1522338605","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-07","2023","04","20.4466228643","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-08","2023","04","20.3061446484","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-09","2023","04","20.1694042435","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-10","2023","04","20.0372222258","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-11","2023","04","19.912405133","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-12","2023","04","19.7905695588","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-13","2023","04","19.6714992433","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-14","2023","04","19.5720324141","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-15","2023","04","19.4760494865","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-16","2023","04","19.3803924281","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-17","2023","04","19.3219887184","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-18","2023","04","19.233529513","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-19","2023","04","19.1459841013","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-20","2023","04","19.0822012477","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-21","2023","04","19.0326398242","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-22","2023","04","21.1360322721","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-23","2023","04","21.3694642867","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-24","2023","04","21.1562484396","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-25","2023","04","20.9748174133","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-26","2023","04","27.0433257638","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-27","2023","04","25.9873255658","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-28","2023","04","25.4389703335","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-29","2023","04","27.2590308022","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-30","2023","04","28.5933684603","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-01","2023","04","24.5241099855","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-02","2023","04","27.5348338617","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-03","2023","04","27.348870068","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-04","2023","04","27.1663504112","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-05","2023","04","27.7001616032","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-06","2023","04","26.8945962488","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-07","2023","04","26.2417683522","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-08","2023","04","25.6648689398","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-09","2023","04","25.1533919314","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-10","2023","04","24.6696845676","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-11","2023","04","24.2121913154","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-12","2023","04","23.782645166","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-13","2023","04","23.3824263226","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-14","2023","04","23.0062403418","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-15","2023","04","22.6535574527","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-04-16","2023","04","22.3268346293","NRSC VIC MODEL"
